NAME,NSECode,Industry
NEOGEN CHEMICALS LTD,NEOGEN,Chemicals
JYOTI RESINS & ADHESIVES LTD.,JYOTIRES,Chemicals
TRANSPEK INDUSTRY LTD.,TRANSPEK,Chemicals
ADVANCED ENZYME TECHNOLOGIES LTD,ADVENZYMES,Chemicals
JUBILANT INDUSTRIES LTD.,JUBLINDS,Chemicals
NIKHIL ADHESIVES LTD.,NIKHILAD,Chemicals
TIDE WATER OIL (INDIA) LTD.,TIDEWATER,Chemicals
GAGAN GASES LTD.,GAGAN,Chemicals
TCM LTD.,TCMLMTD,Chemicals
NITTA GELATIN INDIA LTD.,NITTAGELA,Chemicals
RESONANCE SPECIALTIES LTD.,RESONANCE,Chemicals
TATVA CHINTAN PHARMA CHEM LTD,TATVA,Chemicals
GANESH BENZOPLAST LTD.,GANESHBE,Chemicals
GBL INDUSTRIES LTD,GBLIL,Chemicals
JOCIL,JOCIL,Chemicals
GHCL LTD.,GHCL,Chemicals
TATA CHEMICALS LTD.,TATACHEM,Chemicals
NARMADA GELATINES LTD.,SHAWGELTIN,Chemicals
CLEAN SCIENCE AND TECHNOLOGY LTD,CLEAN,Chemicals
CLARIANT CHEMICALS (INDIA) LTD.,CLNINDIA,Chemicals
MYSORE PETRO CHEMICALS LTD.,MYSORPETRO,Chemicals
ARCHIT ORGANOSYS LTD.,ARCHITORG,Chemicals
KELTECH ENERGIES LTD.,KELENRG,Chemicals
LINDE INDIA LIMITED,LINDEINDIA,Chemicals
EXCEL INDUSTRIES LTD.,EXCELINDUS,Chemicals
CASTROL INDIA LTD.,CASTROLIND,Chemicals
A-1 ACID LTD,AAL,Chemicals
CAPROLACTAM CHEMICALS LTD.,CAPRO,Chemicals
LAXMI ORGANIC INDUSTRIES LTD,LXCHEM,Chemicals
CHEMBOND CHEMICALS LTD.,CHEMBOND,Chemicals
FAIRCHEM ORGANICS LTD,FAIRCHEMOR,Chemicals
CHEMCON SPECIALITY CHEMICALS LTD,CHEMCON,Chemicals
GOA CARBON LTD.,GOACARBON,Chemicals
CHEMCRUX ENTERPRISES LTD,CHEMCRUX,Chemicals
VISHNU CHEMICALS LTD.,VISHNU,Chemicals
ELANTAS BECK INDIA LTD.,ELANTAS,Chemicals
AARTI INDUSTRIES LTD.,AARTIIND,Chemicals
AARTI SURFACTANTS LTD,AARTISURF,Chemicals
CHEMPLAST SANMAR LTD,CHEMPLASTS,Chemicals
VINATI ORGANICS LTD.,VINATIORGA,Chemicals
LAFFANS PETROCHEMICALS LTD.,LAFFANSQ,Chemicals
VASUNDHARA RASAYANS LTD,VRL,Chemicals
FINE ORGANIC INDUSTRIES LTD,FINEORG,Chemicals
FINEOTEX CHEMICAL LTD.,FCL,Chemicals
VALIANT ORGANICS LTD,VALIANTORG,Chemicals
CHEMFAB ALKALIS LTD,CHEMFAB,Chemicals
JAYANT AGRO-ORGANICS LTD.,JAYAGROGN,Chemicals
NOCIL LTD.,NOCIL,Chemicals
TANFAC INDUSTRIES LTD.,TANFACIND,Chemicals
PREMIER EXPLOSIVES LTD.,PREMEXPLN,Chemicals
GULSHAN POLYOLS LTD.,GULPOLY,Chemicals
BALAJI AMINES LTD.,BALAMINES,Chemicals
SREECHEM RESINS LTD.,SRECR,Chemicals
GP PETROLEUMS LIMITED,GULFPETRO,Chemicals
PROLIFE INDUST.,PROLIFE,Chemicals
SREE RAYALASEEMA HI-STRENGTH HYPO LTD.,SRHHYPOLTD,Chemicals
AMINES & PLASTICIZERS LTD.,AMNPLST,Chemicals
DIC INDIA LTD.,DICIND,Chemicals
PUNJAB CHEMICALS AND CROP PROTECTION LTD.,PUNJABCHEM,Chemicals
SOLAR INDUSTRIES INDIA LTD.,SOLARINDS,Chemicals
INSILCO LTD.,INSILCO,Chemicals
DIAMINES & CHEMICALS LTD.,DIAMINESQ,Chemicals
DAI-ICHI KARKARIA LTD.,DAICHI,Chemicals
ANDHRA PETROCHEMICALS LTD.,ANDHRAPET,Chemicals
HARYANA LEATHER CHEMICALS LTD.,HARLETH,Chemicals
DHARAMSI MORARJI CHEMICAL CO.LTD.,DHARAMSI,Chemicals
HIMADRI SPECIALITY CHEMICAL LTD,HSCL,Chemicals
HINDCON CHEMICAL,HINDCON,Chemicals
DEEPAK NITRITE LTD.,DEEPAKNTR,Chemicals
INDO BORAX & CHEMICALS LTD.,INDOBORAX,Chemicals
I G PETROCHEMICALS LTD.,IGPL,Chemicals
ASIAN PETROPRODUCTS & EXPORTS LTD.,ASINPET,Chemicals
INDIA GELATINE & CHEMICALS LTD.,INDGELA,Chemicals
ROSSARI BIOTECH LTD,ROSSARI,Chemicals
ALUFLUORIDE LTD.,ALUFLUOR,Chemicals
SUNSHIELD CHEMICALS LTD.,SUNSHIEL,Chemicals
PRIVI SPECIALITY CHEMICALS LTD,PRIVISCL,Chemicals
SANGINITA CHEMI.,SANGINITA,Chemicals
ALKALI METALS LTD.,ALKALI,Chemicals
ALKYL AMINES CHEMICALS LTD.,ALKYLAMINE,Chemicals
PIDILITE INDUSTRIES LTD.,PIDILITIND,Chemicals
PHILLIPS CARBON BLACK LTD.,PCBL,Chemicals
PODDAR PIGMENTS LTD.,PODDARMENT,Chemicals
GRAUER & WEIL (INDIA) LTD.,GRAUWEIL,Chemicals
PLASTIBLENDS INDIA LTD.,PLASTIBLEN,Chemicals
PENTOKEY ORGANY (INDIA) LTD.,PNTKYOR,Chemicals
GUJARAT FLUOROCHEMICALS LTD,FLUOROCHEM,Chemicals
ORIENTAL AROMATICS LTD,OAL,Chemicals
TAMILNADU PETROPRODUCTS LTD.,TNPETRO,Chemicals
GULF OIL LUBRICANTS INDIA LTD,GULFOILLUB,Chemicals
ORIENTAL CARBON & CHEMICALS LTD.,OCCL,Chemicals
BASF INDIA LTD.,BASF,Chemicals
LORDS CHLORO ALKALI LTD.,LORDSCHLO,Chlor Alkali / Soda Ash
TUTICORIN ALKALI CHEMICALS AND FERTILIZERS LTD,TUTIALKA,Chlor Alkali / Soda Ash
Epigral Ltd,MFL,Chlor Alkali / Soda Ash
TGV SRAAC LTD,TGVSL,Chlor Alkali / Soda Ash
PUNJAB ALKALIES & CHEMICALS LTD.,PACL,Chlor Alkali / Soda Ash
GUJARAT ALKALIES & CHEMICALS LTD.,GUJALKALI,Chlor Alkali / Soda Ash
Vishnu Prakash R Punglia Ltd,VPRPL,Civil Construction
Chavda Infra Ltd,CHAVDA,Civil Construction
Udayshivakumar Infra Ltd,USK,Civil Construction
DEVINE IMPEX LTD.,DEVINE,Comm.Trading & Distribution
Trivikrama Industries Ltd,TRIVIKRAMA,Comm.Trading & Distribution
Parshva Enterprises Ltd,PARSHVA,Comm.Trading & Distribution
Balgopal Commercial Ltd,BALGOPAL,Comm.Trading & Distribution
AYOKI MERCANTILE LTD.,AYOME,Comm.Trading & Distribution
Jupiter Wagons Limited,JWL,Commercial Vehicles
Alchemist Corporation Ltd,ALCHCORP,Commodity Chemicals
Valiant Laboratories Ltd,VALIANTLAB,Commodity Chemicals
MARVEL VINYLS LTD,MARVINY,Commodity Chemicals
Padmanabh Industries Limited,PADMAIND,Commodity Chemicals
ELGI EQUIPMENTS LTD.,ELGIEQUIP,Compressors / Drilling Equipment
KIRLOSKAR PNEUMATIC CO.LTD.,KIRLPNU,Compressors / Drilling Equipment
INGERSOLL-RAND (INDIA) LTD.,INGERRAND,Compressors / Drilling Equipment
JETKING INFOTRAIN LTD.,JETKINGQ,Computers - Education
COMPUCOM SOFTWARE LTD.,COMPUSOFT,Computers - Education
NIIT LTD.,NIITLTD,Computers - Education
APTECH LTD.,APTECHT,Computers - Education
CEREBRA INTEGRATED TECHNOLOGIES LTD.,CEREBRAINT,Computers - Hardware
D-LINK (INDIA) LTD,DLINKINDIA,Computers - Hardware
WEP SOLUTIONS LTD.,WEPSOLN,Computers - Hardware
TVS ELECTRONICS LTD.,TVSELECT,Computers - Hardware
FOURTH DIMENSION SOLUTIONS LIMITED,4THDIM,Computers - Software & Consulting
GVP INFOTECH LIMITED,GVPTECH,Computers - Software & Consulting
FIDEL SOFTECH LIMITED,FIDEL,Computers - Software & Consulting
Micropro Software Solutions Ltd,MICROPRO,Computers - Software & Consulting
Systango Technologies Ltd,SYSTANGO,Computers - Software & Consulting
Quicktouch Technologies Ltd,QUICKTOUCH,Computers - Software & Consulting
Yudiz Solutions Ltd,YUDIZ,Computers - Software & Consulting
Canarys Automations Ltd,CANARYS,Computers - Software & Consulting
Quest Softech (India) Ltd,QUEST,Computers - Software & Consulting
DANLAW TECHNOLOGIES INDIA LTD.,DANLAW,Computers - Software - Converts
LCC INFOTECH LTD.,LCCINFOTEC,Computers - Software - Converts
INFOSYS LTD.,INFY,Computers - Software - Large
TECH MAHINDRA LTD.,TECHM,Computers - Software - Large
HCL TECHNOLOGIES LTD.,HCLTECH,Computers - Software - Large
TATA CONSULTANCY SERVICES LTD.,TCS,Computers - Software - Large
LTIMindtree Ltd,LTIM,Computers - Software - Large
DEV INFORMATION,DEVIT,Computers - Software - Medium / Small
SECMARK CONSULTANCY LTD,SECMARK,Computers - Software - Medium / Small
HILIKS TECHNOLOGIES LTD,HILIKS,Computers - Software - Medium / Small
CENTERAC TECHNOLOGIES LTD.,CENTERAC,Computers - Software - Medium / Small
SILVER TOUCH,SILVERTUC,Computers - Software - Medium / Small
SOFCOM SYSTEMS LTD,SOFCOM,Computers - Software - Medium / Small
SASKEN TECHNOLOGIES LTD,SASKEN,Computers - Software - Medium / Small
SOFTSOL INDIA LTD.,SOFTSOL,Computers - Software - Medium / Small
SIGMA SOLVE,SIGMA,Computers - Software - Medium / Small
HINDUJA GLOBAL SOLUTIONS LTD.,HGS,Computers - Software - Medium / Small
ASM TECHNOLOGIES LTD.,ASMTEC,Computers - Software - Medium / Small
SAKSOFT LTD.,SAKSOFT,Computers - Software - Medium / Small
SAGARSOFT (INDIA) LTD,SAGARSOFT,Computers - Software - Medium / Small
SOFTTECH ENGINEE,SOFTTECH,Computers - Software - Medium / Small
RS SOFTWARE INDIA LTD.,RSSOFTWARE,Computers - Software - Medium / Small
ROUTE MOBILE LTD,ROUTE,Computers - Software - Medium / Small
ATISHAY LTD,ATISHAY,Computers - Software - Medium / Small
AURIONPRO SOLUTIONS LTD.,AURIONPRO,Computers - Software - Medium / Small
RAMINFO LIMITED,RAMINFO,Computers - Software - Medium / Small
INFIBEAM AVENUES LTD,INFIBEAM,Computers - Software - Medium / Small
RAMCO SYSTEMS LTD.,RAMCOSYS,Computers - Software - Medium / Small
DATAMATICS GLOBAL SERVICES LTD.,DATAMATICS,Computers - Software - Medium / Small
INFOBEANS TECH.,INFOBEAN,Computers - Software - Medium / Small
INFORMED TECHNOLOGIES INDIA LTD.,INFORTEC,Computers - Software - Medium / Small
HOV SERVICES LTD.,HOVS,Computers - Software - Medium / Small
SONATA SOFTWARE LTD.,SONATSOFTW,Computers - Software - Medium / Small
ALLSEC TECHNOLOGIES LTD.,ALLSEC,Computers - Software - Medium / Small
SPARC SYSTEMS LTD.,SPARCSYS,Computers - Software - Medium / Small
APOLLO MICRO SYSTEMS LTD,APOLLO,Computers - Software - Medium / Small
ZENSAR TECHNOLOGIES LTD.,ZENSARTECH,Computers - Software - Medium / Small
ZEN TECHNOLOGIES LTD.,ZENTEC,Computers - Software - Medium / Small
XTGLOBAL INFOTECH LTD,XTGLOBAL,Computers - Software - Medium / Small
3I INFOTECH LTD.,3IINFOLTD,Computers - Software - Medium / Small
EXPLEO SOLUTIONS LTD,EXPLEOSOL,Computers - Software - Medium / Small
63 MOONS TECHNOLOGIES LTD,63MOONS,Computers - Software - Medium / Small
AAA TECHNOLOGIES,AAATECH,Computers - Software - Medium / Small
VISESH INFOTECNICS LTD.,VISESHINFO,Computers - Software - Medium / Small
ABM KNOWLEDGEWARE LTD.,ABMKNO,Computers - Software - Medium / Small
ACCELYA SOLUTIONS INDIA LTD,ACCELYA,Computers - Software - Medium / Small
FIRSTSOURCE SOLUTIONS LTD.,FSL,Computers - Software - Medium / Small
ECLERX SERVICES LTD.,ECLERX,Computers - Software - Medium / Small
TRITON CORP.LTD.,TRITON,Computers - Software - Medium / Small
E2E NETWORKS,E2E,Computers - Software - Medium / Small
TRIGYN TECHNOLOGIES LTD.,TRIGYN,Computers - Software - Medium / Small
TREJHARA SOLUTIONS LTD,TREJHARA,Computers - Software - Medium / Small
ADROIT INFOTECH LTD,ADROITINFO,Computers - Software - Medium / Small
DYNACONS SYSTEMS & SOLUTIONS LTD.,DSSL,Computers - Software - Medium / Small
TECHNVISION VENTURES LTD.,TECHNVISN,Computers - Software - Medium / Small
AIRAN,AIRAN,Computers - Software - Medium / Small
TATA ELXSI LTD.,TATAELXSI,Computers - Software - Medium / Small
GENESYS INTERNATIONAL CORPORATION LTD.,GENESYS,Computers - Software - Medium / Small
GOLDSTONE TECHNOLOGIES LTD.,GOLDTECH,Computers - Software - Medium / Small
TANLA PLATFORMS LTD,TANLA,Computers - Software - Medium / Small
TAKE SOLUTIONS LTD.,TAKE,Computers - Software - Medium / Small
GSS INFOTECH LTD.,GSS,Computers - Software - Medium / Small
ALLIED DIGITAL SERVICES LTD.,ADSL,Computers - Software - Medium / Small
SUBEX LTD.,SUBEXLTD,Computers - Software - Medium / Small
HAPPIEST MINDS TECHNOLOGIES LTD,HAPPSTMNDS,Computers - Software - Medium / Small
INFRONICS SYSTEMS LTD,INFRONICS,Computers - Software - Medium / Small
NUCLEUS SOFTWARE EXPORTS LTD.,NUCLEUS,Computers - Software - Medium / Small
R SYSTEMS INTERNATIONAL LIMITED,RSYSTEMS,Computers - Software - Medium / Small
JONJUA OVERSEAS LTD,JONJUA,Computers - Software - Medium / Small
NINTEC SYSTEMS LTD,NINSYS,Computers - Software - Medium / Small
NEWGEN SOFTWARE TECHNOLOGIES LTD,NEWGEN,Computers - Software - Medium / Small
NETLINK SOLUTIONS (INDIA) LTD.,NETLINK,Computers - Software - Medium / Small
BIRLASOFT LTD,BSOFT,Computers - Software - Medium / Small
COFORGE LTD,COFORGE,Computers - Software - Medium / Small
BNR UDYOG LTD.,BNRUDY,Computers - Software - Medium / Small
BODHTREE CONSULTING LTD,BODHTREE,Computers - Software - Medium / Small
KELLTON TECH SOLUTIONS LTD.,KELLTONTEC,Computers - Software - Medium / Small
N2N TECHNOLOGIES LIMITED,NNTL,Computers - Software - Medium / Small
MPHASIS LTD.,MPHASIS,Computers - Software - Medium / Small
CIGNITI TECHNOLOGIES LTD.,CIGNITITEC,Computers - Software - Medium / Small
KPIT TECHNOLOGIES LTD,KPITTECH,Computers - Software - Medium / Small
BRIGHTCOM GROUP LTD,BCG,Computers - Software - Medium / Small
KSOLVES INDIA,KSOLVES,Computers - Software - Medium / Small
L&T TECHNOLOGY SERVICES LTD,LTTS,Computers - Software - Medium / Small
MOSCHIP TECHNOLOGIES LTD,MOSCHIP,Computers - Software - Medium / Small
MINDTECK (INDIA) LTD.,MINDTECK,Computers - Software - Medium / Small
CALIFORNIA SOFTWARE CO.LTD.,CALSOFT,Computers - Software - Medium / Small
MASTEK LTD.,MASTEK,Computers - Software - Medium / Small
MAJESCO LTD,MJCO,Computers - Software - Medium / Small
CEINSYS TECH LTD,CEINSYSTECH,Computers - Software - Medium / Small
CG-VAK SOFTWARE & EXPORTS LTD.,CGVAK,Computers - Software - Medium / Small
OBJECTONE INFORMATION SYSTEMS LTD.,OONE,Computers - Software - Medium / Small
OCTAWARE TECHNOLOGIES LTD,OCTAWARE,Computers - Software - Medium / Small
BLS INTERNATIONAL SERVICES LTD,BLS,Computers - Software - Medium / Small
