NAME,NSECode,Industry
Jupiter Wagons Limited,JWL,Commercial Vehicles
Valiant Laboratories Ltd,VALIANTLAB,Commodity Chemicals
ELGI EQUIPMENTS LTD.,ELGIEQUIP,Compressors / Drilling Equipment
KIRLOSKAR PNEUMATIC CO.LTD.,KIRLPNU,Compressors / Drilling Equipment
INGERSOLL-RAND (INDIA) LTD.,INGERRAND,Compressors / Drilling Equipment
COMPUCOM SOFTWARE LTD.,COMPUSOFT,Computers - Education
NIIT LTD.,NIITLTD,Computers - Education
APTECH LTD.,APTECHT,Computers - Education
CEREBRA INTEGRATED TECHNOLOGIES LTD.,CEREBRAINT,Computers - Hardware
D-LINK (INDIA) LTD,DLINKINDIA,Computers - Hardware
TVS ELECTRONICS LTD.,TVSELECT,Computers - Hardware
GVP INFOTECH LIMITED,GVPTECH,Computers - Software & Consulting
LCC INFOTECH LTD.,LCCINFOTEC,Computers - Software - Converts
INFOSYS LTD.,INFY,Computers - Software - Large
TECH MAHINDRA LTD.,TECHM,Computers - Software - Large
HCL TECHNOLOGIES LTD.,HCLTECH,Computers - Software - Large
TATA CONSULTANCY SERVICES LTD.,TCS,Computers - Software - Large
LTIMindtree Ltd,LTIM,Computers - Software - Large
DEV INFORMATION,DEVIT,Computers - Software - Medium / Small
SECMARK CONSULTANCY LTD,SECMARK,Computers - Software - Medium / Small
SILVER TOUCH,SILVERTUC,Computers - Software - Medium / Small
SASKEN TECHNOLOGIES LTD,SASKEN,Computers - Software - Medium / Small
SIGMA SOLVE,SIGMA,Computers - Software - Medium / Small
HINDUJA GLOBAL SOLUTIONS LTD.,HGS,Computers - Software - Medium / Small
SAKSOFT LTD.,SAKSOFT,Computers - Software - Medium / Small
SOFTTECH ENGINEE,SOFTTECH,Computers - Software - Medium / Small
RS SOFTWARE INDIA LTD.,RSSOFTWARE,Computers - Software - Medium / Small
ROUTE MOBILE LTD,ROUTE,Computers - Software - Medium / Small
AURIONPRO SOLUTIONS LTD.,AURIONPRO,Computers - Software - Medium / Small
INFIBEAM AVENUES LTD,INFIBEAM,Computers - Software - Medium / Small
RAMCO SYSTEMS LTD.,RAMCOSYS,Computers - Software - Medium / Small
DATAMATICS GLOBAL SERVICES LTD.,DATAMATICS,Computers - Software - Medium / Small
INFOBEANS TECH.,INFOBEAN,Computers - Software - Medium / Small
HOV SERVICES LTD.,HOVS,Computers - Software - Medium / Small
SONATA SOFTWARE LTD.,SONATSOFTW,Computers - Software - Medium / Small
ALLSEC TECHNOLOGIES LTD.,ALLSEC,Computers - Software - Medium / Small
APOLLO MICRO SYSTEMS LTD,APOLLO,Computers - Software - Medium / Small
ZENSAR TECHNOLOGIES LTD.,ZENSARTECH,Computers - Software - Medium / Small
ZEN TECHNOLOGIES LTD.,ZENTEC,Computers - Software - Medium / Small
3I INFOTECH LTD.,3IINFOLTD,Computers - Software - Medium / Small
EXPLEO SOLUTIONS LTD,EXPLEOSOL,Computers - Software - Medium / Small
63 MOONS TECHNOLOGIES LTD,63MOONS,Computers - Software - Medium / Small
AAA TECHNOLOGIES,AAATECH,Computers - Software - Medium / Small
VISESH INFOTECNICS LTD.,VISESHINFO,Computers - Software - Medium / Small
ACCELYA SOLUTIONS INDIA LTD,ACCELYA,Computers - Software - Medium / Small
FIRSTSOURCE SOLUTIONS LTD.,FSL,Computers - Software - Medium / Small
ECLERX SERVICES LTD.,ECLERX,Computers - Software - Medium / Small
E2E NETWORKS,E2E,Computers - Software - Medium / Small
TRIGYN TECHNOLOGIES LTD.,TRIGYN,Computers - Software - Medium / Small
TREJHARA SOLUTIONS LTD,TREJHARA,Computers - Software - Medium / Small
ADROIT INFOTECH LTD,ADROITINFO,Computers - Software - Medium / Small
DYNACONS SYSTEMS & SOLUTIONS LTD.,DSSL,Computers - Software - Medium / Small
AIRAN,AIRAN,Computers - Software - Medium / Small
TATA ELXSI LTD.,TATAELXSI,Computers - Software - Medium / Small
GENESYS INTERNATIONAL CORPORATION LTD.,GENESYS,Computers - Software - Medium / Small
GOLDSTONE TECHNOLOGIES LTD.,GOLDTECH,Computers - Software - Medium / Small
TANLA PLATFORMS LTD,TANLA,Computers - Software - Medium / Small
TAKE SOLUTIONS LTD.,TAKE,Computers - Software - Medium / Small
GSS INFOTECH LTD.,GSS,Computers - Software - Medium / Small
ALLIED DIGITAL SERVICES LTD.,ADSL,Computers - Software - Medium / Small
SUBEX LTD.,SUBEXLTD,Computers - Software - Medium / Small
HAPPIEST MINDS TECHNOLOGIES LTD,HAPPSTMNDS,Computers - Software - Medium / Small
NUCLEUS SOFTWARE EXPORTS LTD.,NUCLEUS,Computers - Software - Medium / Small
R SYSTEMS INTERNATIONAL LIMITED,RSYSTEMS,Computers - Software - Medium / Small
NINTEC SYSTEMS LTD,NINSYS,Computers - Software - Medium / Small
NEWGEN SOFTWARE TECHNOLOGIES LTD,NEWGEN,Computers - Software - Medium / Small
BIRLASOFT LTD,BSOFT,Computers - Software - Medium / Small
COFORGE LTD,COFORGE,Computers - Software - Medium / Small
KELLTON TECH SOLUTIONS LTD.,KELLTONTEC,Computers - Software - Medium / Small
MPHASIS LTD.,MPHASIS,Computers - Software - Medium / Small
CIGNITI TECHNOLOGIES LTD.,CIGNITITEC,Computers - Software - Medium / Small
KPIT TECHNOLOGIES LTD,KPITTECH,Computers - Software - Medium / Small
BRIGHTCOM GROUP LTD,BCG,Computers - Software - Medium / Small
KSOLVES INDIA,KSOLVES,Computers - Software - Medium / Small
L&T TECHNOLOGY SERVICES LTD,LTTS,Computers - Software - Medium / Small
MINDTECK (INDIA) LTD.,MINDTECK,Computers - Software - Medium / Small
CALIFORNIA SOFTWARE CO.LTD.,CALSOFT,Computers - Software - Medium / Small
MASTEK LTD.,MASTEK,Computers - Software - Medium / Small
BLS INTERNATIONAL SERVICES LTD,BLS,Computers - Software - Medium / Small
IZMO LIMITED,IZMO,Computers - Software - Medium / Small
PERSISTENT SYSTEMS LTD.,PERSISTENT,Computers - Software - Medium / Small
INTENSE TECHNOLOGIES LTD.,INTENTECH,Computers - Software - Medium / Small
CYIENT LIMITED,CYIENT,Computers - Software - Medium / Small
IRIS BUSINESS SERVICES LTD,IRIS,Computers - Software - Medium / Small
ONWARD TECHNOLOGIES LTD.,ONWARDTEC,Computers - Software - Medium / Small
INTELLECT DESIGN ARENA LTD,INTELLECT,Computers - Software - Medium / Small
QUICK HEAL TECHNOLOGIES LTD,QUICKHEAL,Computers - Software - Medium / Small
ORACLE FINANCIAL SERVICES SOFTWARE LTD.,OFSS,Computers - Software - Medium / Small
Netweb Technologies India Ltd,NETWEB,Computers Hardware & Equipments
KNR CONSTRUCTIONS LTD.,KNRCON,Construction
PSP PROJECTS LTD,PSPPROJECT,Construction
INDIABULLS REAL ESTATE LTD.,IBREALEST,Construction
IRCON INTERNATIONAL LTD,IRCON,Construction
THE PHOENIX MILLS LTD,PHOENIXLTD,Construction
MAN INFRACONSTRUCTION LTD.,MANINFRA,Construction
MAHINDRA LIFESPACE DEVELOPERS LTD.,MAHLIFE,Construction
MACROTECH DEVELOPERS LTD,LODHA,Construction
GANESH HOUSING CORPORATION LTD.,GANESHHOUC,Construction
HEMISPHERE PROPERTIES INDIA LTD,HEMIPROP,Construction
OBEROI REALTY LTD.,OBEROIRLTY,Construction
NIRAJ CEMENT STRUCTURALS LTD.,NIRAJ,Construction
SUNTECK REALTY LTD.,SUNTECK,Construction
NCC LIMITED,NCC,Construction
NBCC (INDIA) LTD,NBCC,Construction
TARMAT LTD,TARMAT,Construction
RUDRABHISH. ENT.,REPL,Construction
SURATWWALA BUSINESS GROUP LTD,SBGLP,Construction
LIKHITHA INFRASTRUCTURE LTD,LIKHITHA,Construction
COUNTRY CONDO'S LTD.,COUNCODOS,Construction
ART NIRMAN LTD,ARTNIRMAN,Construction
ELDECO HOUSING & INDUSTRIES LTD.,ELDEHSG,Construction
ATAL REALTECH,ATALREAL,Construction
ARVIND SMARTSPACES LTD,ARVSMART,Construction
ASHIANA HOUSING LTD.,ASHIANA,Construction
DLF LTD.,DLF,Construction
ANANT RAJ LIMITED,ANANTRAJ,Construction
AMJ LAND HOLDINGS LTD,AMJLAND,Construction
CAPACITE INFRAPROJECTS LTD,CAPACITE,Construction
AHLUWALIA CONTRACTS (INDIA) LTD.,AHLUCONT,Construction
PDS Limited,PDSL,Consumer / Cyclical
Jullundur Motor Agency (Delhi) Limited,JMA,Consumer / Cyclical
ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA,Consumer / Cyclical
Kothari Sugars And Chemicals Limited,KOTARISUG,Consumer / Non-Cyclical
Digjam Limited,DIGJAMLMTD,Consumer Cyclical
IKIO Lighting Ltd,IKIO,Consumer Electronics
Raj Oil Mills Limited,ROML,Consumer/Non-Cyclical
TCI EXPRESS LTD,TCIEXP,Couriers
BLUE DART EXPRESS LTD.,BLUEDART,Couriers
TUBE INVESTMENTS OF INDIA LTD,TIINDIA,Cycles And Accessories
Paras Defence and Space Technologies Limited,PARAS,DEFENCE
CREATIVE NEWTECH LIMITED,CREATIVE,DIVERSIFIED RETAIL
Tracxn Technologies Ltd,TRACXN,Data Processing Services
Data Patterns (India) Ltd,DATAPATTNS,Defence
KFin Technologies Ltd,KFINTECH,"Depositories, Clearing Houses and Other Intermediaries"
GALAXY SURFACTANTS LTD,GALAXYSURF,Detergents / Intermediates
VAIBHAV GLOBAL LTD,VAIBHAVGBL,Diamond Cutting / Jewellery
RADHIKA JEWELTECH LTD,RADHIKAJWE,Diamond Cutting / Jewellery
KANANI INDUSTRIES LTD.,KANANIIND,Diamond Cutting / Jewellery
THANGAMAYIL JEWELLERY LTD,THANGAMAYL,Diamond Cutting / Jewellery
TITAN COMPANY LIMITED,TITAN,Diamond Cutting / Jewellery
RAJESH EXPORTS LTD.,RAJESHEXPO,Diamond Cutting / Jewellery
QUESS CORP LTD,QUESS,Diversified - Large
BALMER LAWRIE & CO.LTD.,BALMLAWRIE,Diversified - Large
ANDHRA SUGARS LTD.,ANDHRSUGAR,Diversified - Medium / Small
DCM SHRIRAM LIMITED,DCMSHRIRAM,Diversified - Mega
Updater Services Ltd,UDS,Diversified Commercial Services
Radiant Cash Management Services Ltd,RADIANTCMS,Diversified Commercial Services
SYMPHONY LIMITED,SYMPHONY,Domestic Appliances
WHIRLPOOL OF INDIA LTD.,WHIRLPOOL,Domestic Appliances
STOVE KRAFT LTD,STOVEKRAFT,Domestic Appliances
ORIENT ELECTRIC LTD,ORIENTELEC,Domestic Appliances
BUTTERFLY GANDHIMATHI APPLIANCES LTD,BUTTERFLY,Domestic Appliances
TTK PRESTIGE LTD.,TTKPRESTIG,Domestic Appliances
BAJAJ ELECTRICALS LTD.,BAJAJELEC,Domestic Appliances
IFB INDUSTRIES LTD.,IFBIND,Domestic Appliances
EVEREADY INDUSTRIES INDIA LTD.,EVEREADY,Dry Cells
HBL POWER SYSTEMS LTD.,HBLPOWER,Dry Cells
SUDARSHAN CHEMICAL INDUSTRIES LTD.,SUDARSCHEM,Dyes And Pigments
Heubach Colorants India Ltd,HEUBACHIND,Dyes And Pigments
BHAGERIA INDUSTRIES LTD,BHAGERIA,Dyes And Pigments
SADHANA NITROCHEM LTD.,SADHNANIQ,Dyes And Pigments
DYNEMIC PRODUCTS LTD.,DYNPRO,Dyes And Pigments
ATUL LTD.,ATUL,Dyes And Pigments
HINDPRAKASH INDU,HPIL,Dyes And Pigments
KIRI INDUSTRIES LTD.,KIRIINDUS,Dyes And Pigments
SHREE PUSHKAR CHEMICALS & FERTILISERS LTD,SHREEPUSHK,Dyes And Pigments
AKSHARCHEM (INDIA) LTD.,AKSHARCHEM,Dyes And Pigments
VIDHI SPECIALTY FOOD INGREDIENTS LTD,VIDHIING,Dyes And Pigments
Veranda Learning Solutions Ltd,VERANDA,E-Learning
M K PROTEINS LIMITED,MKPL,Edible Oil
Patanjali Foods Ltd,PATANJALI,Edible Oil
Adani Wilmar Ltd,AWL,Edible Oils
NIIT Learning Systems Ltd,NIITMTS,Education
MARINE ELECTRIC.,MARINE,Electric Equipment
SCHNEIDER ELECTRIC INFRASTRUCTURE LTD.,SCHNEIDER,Electric Equipment
VOLTAMP TRANSFORMERS LTD.,VOLTAMP,Electric Equipment
T D POWER SYSTEMS LTD.,TDPOWERSYS,Electric Equipment
FOCUS LIGHTING,FOCUS,Electric Equipment
BHARAT BIJLEE LTD.,BBL,Electric Equipment
ABB INDIA LIMITED,ABB,Electric Equipment
ABB POWER PRODUCTS AND SYSTEMS INDIA LTD,POWERINDIA,Electric Equipment
CROMPTON GREAVES CONSUMER ELECTRICALS LTD,CROMPTON,Electric Equipment
GE T&D INDIA LTD,GET&D,Electric Equipment
MODISON LTD.,MODISONLTD,Electric Equipment
SERVOTECH POWER,SERVOTECH,Electric Equipment
HONDA INDIA POWER PRODUCTS LTD,HONDAPOWER,Electric Equipment
APAR INDUSTRIES LTD.,APARINDS,Electric Equipment
SIEMENS LTD.,SIEMENS,Electric Equipment
INDO TECH TRANSFORMERS LTD.,INDOTECH,Electric Equipment
V-GUARD INDUSTRIES LTD.,VGUARD,Electric Equipment
CG POWER AND INDUSTRIAL SOLUTIONS LTD,CGPOWER,Electric Equipment
SUZLON ENERGY LTD.,SUZLON,Electric Equipment
VETO SWITCHGEARS AND CABLES LTD,VETO,Electric Equipment
AARTECH SOLONICS LTD,AARTECH,Electric Equipment
SURANA SOLAR LIMITED,SURANASOL,Electric Equipment
HAVELLS INDIA LTD.,HAVELLS,Electric Equipment
TRIVENI TURBINE LTD.,TRITURBINE,Electric Equipment
HEG LTD.,HEG,Electrodes - Graphites
GRAPHITE INDIA LTD.,GRAPHITE,Electrodes - Graphites
ADOR WELDING LTD.,ADORWELD,Electrodes - Welding Equipment
ESAB INDIA LTD.,ESABINDIA,Electrodes - Welding Equipment
Samvardhana Motherson International Limited,MOTHERSON,Electronic
HONEYWELL AUTOMATION INDIA LTD.,HONAUT,Electronics - Components
BHARAT ELECTRONICS LTD.,BEL,Electronics - Components
PG ELECTROPLAST LTD.,PGEL,Electronics - Components
NITIRAJ ENGINEER,NITIRAJ,Electronics - Components
SHIVALIK BIMETAL CONTROLS LTD.,SBCL,Electronics - Components
GENUS POWER INFRASTRUCTURES LTD.,GENUSPOWER,Electronics - Components
HIND RECTIFIERS LTD.,HIRECT,Electronics - Components
AMBER ENTERPRISES INDIA LTD,AMBER,Electronics - Components
MIRC ELECTRONICS LTD.,MIRCELECTR,Electronics - Consumer
DIXON TECHNOLOGIES (INDIA) LTD,DIXON,Electronics - Consumer
BPL LTD.,BPL,Electronics - Consumer
BEML LTD.,BEML,Engineering
MACPOWER CNC,MACPOWER,Engineering
MAZDA LTD.,MAZDA,Engineering
THE ANUP ENGINEERING LTD,ANUP,Engineering
INTERNATIONAL CONVEYORS LTD.,INTLCONV,Engineering
THEJO ENGG.,THEJO,Engineering
THERMAX,THERMAX,Engineering
MTAR TECHNOLOGIES LTD,MTARTECH,Engineering
JASH ENGINEERING,JASH,Engineering
MOLD-TEK TECHNOLOGIES LTD.,MOLDTECH,Engineering
KABRA EXTRUSIONTECHNIK LTD.,KABRAEXTRU,Engineering
BHARAT DYNAMICS LTD,BDL,Engineering
ISGEC HEAVY ENGINEERING LTD,ISGEC,Engineering
ION EXCHANGE (INDIA) LTD.,IONEXCHANG,Engineering
LATTEYS INDUSTRI,LATTEYS,Engineering
UNITED DRILLING TOOLS LTD.,UNIDT,Engineering
ICE MAKE REFRIG.,ICEMAKE,Engineering
VA TECH WABAG LTD.,WABAG,Engineering
